Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	PubMed	Gene Ontology	Pathway
262091_at	ATMYB72, MYB72	Encodes a member of the R2R3 transcription factor gene family that is involved in mediating induced systemic resistance. Genetic analysis of loss of function mutants and overexpressor lines indicates MYB72 is necessary but not sufficient for ISR.Interacts in vivo with EIL3., Encodes a member of the R2R3 transcription factor gene family that is involved in mediating induced systemic resistance. Genetic analysis of loss of function mutants and overexpressor lines indicates MYB72 is necessary but not sufficient for ISR.Interacts in vivo with EIL3.	1, 1	21022384	AT1G56160	9839469, 11118137, 11597504, 14605227, 14756312, 15489280, 15539473, 16998091, 18772308, 19121118, 20627899	GO:0003677: DNA binding, GO:0003677: DNA binding, GO:0003700: sequence-specific DNA binding transcription factor activity, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated, GO:0009866: induced systemic resistance, ethylene mediated signaling pathway, GO:0071281: cellular response to iron ion, GO:0071369: cellular response to ethylene stimulus, GO:0071732: cellular response to nitric oxide	
259228_at			3	2465365	AT3G07720	15610358, 15539473, 17545220, 18650403, 18987211, 19880396	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0005737: cytoplasm, GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0009627: systemic acquired resistance, GO:0009697: salicylic acid biosynthetic process, GO:0010043: response to zinc ion	
251293_at			3	22935510	AT3G61930	12912986, 15489280, 15539473, 18650403, 18772308	GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0006499: N-terminal protein myristoylation	
251620_at			3	-21497778	AT3G58060	11500563, 15539473, 16844841, 16998091, 17409091, 17559518, 18772308	GO:0005634: nucleus, GO:0006812: cation transport, GO:0006812: cation transport, GO:0008324: cation transmembrane transporter activity, GO:0008324: cation transmembrane transporter activity, GO:0015562: efflux transmembrane transporter activity, GO:0016020: membrane, GO:0016021: integral component of membrane, GO:0055085: transmembrane transport	
250832_at	ATNAS1, NAS1	Encodes a nicotianamide synthase., Encodes a nicotianamide synthase.	5, 5	-1457645	AT5G04950	11351099, 13129917, 12953064, 14690510, 15047898, 15272873, 15539473, 15584951, 15531708, 16844841, 16998091, 19304929, 20627899, 21592396, 22184655, 22374397, 22639605, 22706286	GO:0009555: pollen development, GO:0009860: pollen tube growth, GO:0010233: phloem transport, GO:0030410: nicotianamine synthase activity, GO:0030410: nicotianamine synthase activity, GO:0030418: nicotianamine biosynthetic process, GO:0071281: cellular response to iron ion, GO:0071369: cellular response to ethylene stimulus, GO:0071732: cellular response to nitric oxide	
257689_at	AtMYB10, MYB10	Member of the R2R3 factor gene family., Member of the R2R3 factor gene family.	3, 3	-4074158	AT3G12820	9839469, 11118137, 11597504, 12912986, 15078338, 15489280, 15539473, 16463103	GO:0003677: DNA binding, GO:0003677: DNA binding, GO:0003700: sequence-specific DNA binding transcription factor activity, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated, GO:0006499: N-terminal protein myristoylation	
245296_at	ATOPT3, OPT3	Encodes an oligopeptide transporter involved in  metal homeostasis., Encodes an oligopeptide transporter involved in  metal homeostasis.	4, 4	-9247302	AT4G16370	8776904, 7919993, 11788749, 12417702, 13129917, 16151844, 17566055, 18083798, 20978802	GO:0000271: polysaccharide biosynthetic process, GO:0005737: cytoplasm, GO:0006857: oligopeptide transport, GO:0006875: cellular metal ion homeostasis, GO:0009506: plasmodesma, GO:0009825: multidimensional cell growth, GO:0009932: cell tip growth, GO:0010817: regulation of hormone levels, GO:0015198: oligopeptide transporter activity, GO:0016020: membrane, GO:0043481: anthocyanin accumulation in tissues in response to UV light, GO:0048767: root hair elongation, GO:0055085: transmembrane transport, GO:0071555: cell wall organization	
247483_at			5	25064835	AT5G62420	17061125, 17662035	GO:0005737: cytoplasm, GO:0016491: oxidoreductase activity, GO:0055114: oxidation-reduction process	
251545_at	ATMTP3, ATMTPA2, MTP3, MTPA2	Member of Zinc transporter (ZAT) family. Contributes to basic cellular Zn tolerance and controls Zn partitioning, particularly under conditions of high  rates of Zn influx into the root symplasm. Localizes to  the vacuolar membrane., Member of Zinc transporter (ZAT) family. Contributes to basic cellular Zn tolerance and controls Zn partitioning, particularly under conditions of high  rates of Zn influx into the root symplasm. Localizes to  the vacuolar membrane., Member of Zinc transporter (ZAT) family. Contributes to basic cellular Zn tolerance and controls Zn partitioning, particularly under conditions of high  rates of Zn influx into the root symplasm. Localizes to  the vacuolar membrane., Member of Zinc transporter (ZAT) family. Contributes to basic cellular Zn tolerance and controls Zn partitioning, particularly under conditions of high  rates of Zn influx into the root symplasm. Localizes to  the vacuolar membrane.	3, 3, 3, 3	21749966, 21749966	AT3G58810	11274055, 11500563, 15215502, 15255871, 15539473, 16258017, 16709200, 16998091, 22184655, 22374397	GO:0005385: zinc ion transmembrane transporter activity, GO:0005773: vacuole, GO:0006812: cation transport, GO:0006826: iron ion transport, GO:0006829: zinc II ion transport, GO:0008324: cation transmembrane transporter activity, GO:0009705: plant-type vacuole membrane, GO:0010043: response to zinc ion, GO:0010043: response to zinc ion, GO:0010106: cellular response to iron ion starvation, GO:0010167: response to nitrate, GO:0010299: detoxification of cobalt ion, GO:0010312: detoxification of zinc ion, GO:0010312: detoxification of zinc ion, GO:0015103: inorganic anion transmembrane transporter activity, GO:0015562: efflux transmembrane transporter activity, GO:0015706: nitrate transport, GO:0016021: integral component of membrane, GO:0055085: transmembrane transport	
262412_at	GF14, GRF11, RHS5	Encodes a 14-3-3 protein. Binds H+-ATPase in response to blue light., Encodes a 14-3-3 protein. Binds H+-ATPase in response to blue light., Encodes a 14-3-3 protein. Binds H+-ATPase in response to blue light.	1, 1, 1	-12743848, -12743821	AT1G34760	10631267, 10836149, 15539473, 15821287, 16407442, 17598127, 19448035, 20736450, 22253603, 23252371	GO:0005737: cytoplasm, GO:0016597: amino acid binding, GO:0019904: protein domain specific binding, GO:0045309: protein phosphorylated amino acid binding, GO:0051117: ATPase binding	
258551_at			3	2176856	AT3G06890	15539473, 17565617, 18252252, 18567831	GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0008150: biological_process	
264710_at	COBL6		1	-3168482	AT1G09790	12068095, 12376623, 12805588, 14671020, 15539473, 16790430, 20226671	GO:0003674: molecular_function, GO:0005886: plasma membrane, GO:0008150: biological_process, GO:0031225: anchored component of membrane	
254571_at			4	-10566150	AT4G19370	15539473, 18650403	GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0008150: biological_process, GO:0009693: ethylene biosynthetic process, GO:0009723: response to ethylene	
246998_at	CGLD27		5	-26877553	AT5G67370	15531708, 23043051	GO:0003674: molecular_function, GO:0008150: biological_process, GO:0009507: chloroplast	
252502_at	COPT2	encodes a member of copper transporter family and functionally complements a high affinity copper transporter mutant in yeast	3	17268875	AT3G46900	12650623, 13129917, 12969422, 15539473, 16460505, 17337631, 18258690, 18775970, 18631293, 20117084	GO:0005375: copper ion transmembrane transporter activity, GO:0005375: copper ion transmembrane transporter activity, GO:0006825: copper ion transport, GO:0015089: high-affinity copper ion transmembrane transporter activity, GO:0015678: high-affinity copper ion transport, GO:0016021: integral component of membrane, GO:0035434: copper ion transmembrane transport, GO:0046658: anchored component of plasma membrane	
259632_at	ATNAS4, NAS4	Encodes a protein with nicotianamine synthase activity., Encodes a protein with nicotianamine synthase activity.	1, 1	21136944	AT1G56430	14690510, 14690509, 15531708, 16844841, 16998091, 17061125, 17233795, 17411438, 18650403, 18783601, 18772308, 19304929, 20675571, 21592396, 22374397, 22639605, 22706286	GO:0005634: nucleus, GO:0009555: pollen development, GO:0009860: pollen tube growth, GO:0010233: phloem transport, GO:0030410: nicotianamine synthase activity, GO:0030410: nicotianamine synthase activity, GO:0030418: nicotianamine biosynthetic process	
254534_at	ATIRT2, IRT2	encodes an iron transporter whose expression is induced by iron and zinc deficiency. Gene is specifically expressed in the external cell layers of the root subapical zone., encodes an iron transporter whose expression is induced by iron and zinc deficiency. Gene is specifically expressed in the external cell layers of the root subapical zone.	4, 4	10703362, 10703376	AT4G19680	11389759, 11500563, 12207649, 12374293, 13129917, 14690510, 15539473, 15584951, 15531708, 16766693, 16911220, 16998091, 17061125, 17014743, 17404382, 19252923, 21219335, 22184655, 22253603	GO:0005381: iron ion transmembrane transporter activity, GO:0005381: iron ion transmembrane transporter activity, GO:0005385: zinc ion transmembrane transporter activity, GO:0005385: zinc ion transmembrane transporter activity, GO:0005385: zinc ion transmembrane transporter activity, GO:0005886: plasma membrane, GO:0006826: iron ion transport, GO:0006826: iron ion transport, GO:0006829: zinc II ion transport, GO:0006829: zinc II ion transport, GO:0006833: water transport, GO:0010106: cellular response to iron ion starvation, GO:0010167: response to nitrate, GO:0015706: nitrate transport, GO:0016020: membrane, GO:0016021: integral component of membrane, GO:0030001: metal ion transport, GO:0046873: metal ion transmembrane transporter activity, GO:0055085: transmembrane transport, GO:0071577: zinc II ion transmembrane transport	
248270_at	ORG1		5	21688773, 21688763	AT5G53450	12913170, 12887587, 14576160, 15247402, 17233795, 17293567, 21477822	GO:0004672: protein kinase activity, GO:0005198: structural molecule activity, GO:0005524: ATP binding, GO:0006468: protein phosphorylation, GO:0009507: chloroplast, GO:0016301: kinase activity, GO:0016772: transferase activity, transferring phosphorus-containing groups	
264751_at	ATFRO3, FRO3	Encodes a ferric chelate reductase whose transcription is regulated by FIT1.  Expressed in the root, shoot, flower and cotyledon., Encodes a ferric chelate reductase whose transcription is regulated by FIT1.  Expressed in the root, shoot, flower and cotyledon.	1, 1	-8150086, -8150070	AT1G23020	10067892, 12169696, 12885779, 12913156, 13129917, 14690509, 14722088, 15047898, 15235117, 15489280, 15546358, 15531708, 16006655, 16998091, 20736450, 20724023, 20675571, 20978802, 22374397	GO:0000293: ferric-chelate reductase activity, GO:0000293: ferric-chelate reductase activity, GO:0005506: iron ion binding, GO:0006826: iron ion transport, GO:0006833: water transport, GO:0009055: electron carrier activity, GO:0010106: cellular response to iron ion starvation, GO:0016020: membrane, GO:0016021: integral component of membrane, GO:0016491: oxidoreductase activity, GO:0050660: flavin adenine dinucleotide binding, GO:0055114: oxidation-reduction process	
249636_at	BGLU42		5	-14542026, -14541350	AT5G36890	15539473, 16367961, 15604686, 20627899	GO:0003824: catalytic activity, GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds, GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds, GO:0005829: cytosol, GO:0005975: carbohydrate metabolic process, GO:0008422: beta-glucosidase activity, GO:0009507: chloroplast, GO:0030245: cellulose catabolic process, GO:0043169: cation binding, GO:0071281: cellular response to iron ion, GO:0071369: cellular response to ethylene stimulus, GO:0071732: cellular response to nitric oxide	
250828_at			5	-1557037	AT5G05250	15272873, 15632092, 16998091, 21637781	GO:0003674: molecular_function, GO:0008150: biological_process	
262218_at			1	-28089571	AT1G74770	15287975	GO:0005634: nucleus, GO:0006826: iron ion transport, GO:0008150: biological_process, GO:0008270: zinc ion binding, GO:0010043: response to zinc ion, GO:0010106: cellular response to iron ion starvation, GO:0010167: response to nitrate, GO:0015706: nitrate transport	
248978_at	AtPP2-A8, PP2-A8		5, 5	-18187630	AT5G45070	12366802, 12529520, 15287975	GO:0000041: transition metal ion transport, GO:0005622: intracellular, GO:0005737: cytoplasm, GO:0006952: defense response, GO:0007165: signal transduction, GO:0030246: carbohydrate binding	
262217_at			1	-28089571	AT1G74770	15287975	GO:0005634: nucleus, GO:0006826: iron ion transport, GO:0008150: biological_process, GO:0008270: zinc ion binding, GO:0010043: response to zinc ion, GO:0010106: cellular response to iron ion starvation, GO:0010167: response to nitrate, GO:0015706: nitrate transport	
267327_at			2	-8404901	AT2G19410	15539473	GO:0000151: ubiquitin ligase complex, GO:0004672: protein kinase activity, GO:0004674: protein serine/threonine kinase activity, GO:0004842: ubiquitin-protein transferase activity, GO:0005524: ATP binding, GO:0005886: plasma membrane, GO:0006468: protein phosphorylation, GO:0016301: kinase activity, GO:0016567: protein ubiquitination, GO:0016772: transferase activity, transferring phosphorus-containing groups	
252364_at			3	-17944029	AT3G48450	15539473, 18775970, 23054470	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0010167: response to nitrate	
246860_at			5	-9010724	AT5G25840		GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
245076_at	GH3.3	encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro.	2	-9863855	AT2G23170	12805634, 14581632, 14648238, 15086809, 15047898, 15469491, 15659623, 15829601, 12893885, 15960621, 16024589, 16243906, 16317577, 16377752, 16371470, 16553894, 16673935, 16648215, 16901781, 17076805, 17172353, 17259265, 17220200, 17581762, 17675404, 17885085, 18650403, 18805992, 22374398, 22730403	GO:0005737: cytoplasm, GO:0009733: response to auxin, GO:0010252: auxin homeostasis, GO:0010279: indole-3-acetic acid amido synthetase activity	04075: Plant hormone signal transduction
248719_at	ATRBOHD, RBOHD	NADPH/respiratory burst oxidase protein D (RbohD).Interacts with AtrbohF gene to fine tune the spatial control of ROI production and hypersensitive response to cell in and around infection site., NADPH/respiratory burst oxidase protein D (RbohD).Interacts with AtrbohF gene to fine tune the spatial control of ROI production and hypersensitive response to cell in and around infection site.	5, 5	19397443	AT5G47910	21261469, 21447999, 21421415, 21419340, 21492976, 21546454, 21707649, 21668535, 21856300, 21940718, 21937678, 22007023, 22001402, 21985584, 21984648, 22155845, 22138967, 21802603, 22437147, 22422940, 22408091, 22645532, 22730426, 22788984, 23095998, 23264520, 23341360, 23314084, 20820881, 20615112, 20955078, 20951600, 21071853, 21205037, 11756663, 15608336, 15705948, 15923322, 16170317, 16367958, 16428598, 16415066, 16913867, 17160388, 17317660, 17651370, 17601167, 18218618, 18212028, 18643991, 18790995, 19170932, 19321706, 19574254, 19704701, 19690331, 19690149, 19726575, 20023407, 20163553, 20592040, 20876608	GO:0004601: peroxidase activity, GO:0005506: iron ion binding, GO:0005509: calcium ion binding, GO:0005634: nucleus, GO:0005794: Golgi apparatus, GO:0005886: plasma membrane, GO:0006952: defense response, GO:0007231: osmosensory signaling pathway, GO:0009055: electron carrier activity, GO:0009408: response to heat, GO:0009611: response to wounding, GO:0016020: membrane, GO:0016021: integral component of membrane, GO:0016174: NAD(P)H oxidase activity, GO:0016174: NAD(P)H oxidase activity, GO:0016491: oxidoreductase activity, GO:0033500: carbohydrate homeostasis, GO:0042744: hydrogen peroxide catabolic process, GO:0043069: negative regulation of programmed cell death, GO:0050660: flavin adenine dinucleotide binding, GO:0050664: oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor, GO:0050832: defense response to fungus, GO:0072593: reactive oxygen species metabolic process, GO:0072593: reactive oxygen species metabolic process	04626: Plant-pathogen interaction
250952_at	ATIREG2, FPN2, IREG2	Encodes FPN2, a tonoplast localized nickel transport protein. FPN2 is one of the Arabidopsis orthologs (AT2G38460/IREG1/FPN1 and AT5G03570/IREG2/FPN2) the iron efflux transporter ferroportin (FPN) identified in animals., Encodes FPN2, a tonoplast localized nickel transport protein. FPN2 is one of the Arabidopsis orthologs (AT2G38460/IREG1/FPN1 and AT5G03570/IREG2/FPN2) the iron efflux transporter ferroportin (FPN) identified in animals., Encodes FPN2, a tonoplast localized nickel transport protein. FPN2 is one of the Arabidopsis orthologs (AT2G38460/IREG1/FPN1 and AT5G03570/IREG2/FPN2) the iron efflux transporter ferroportin (FPN) identified in animals.	5, 5, 5	903756, 903756	AT5G03570	15539473, 16790430, 16998091, 18775970, 18772308, 22184655	GO:0000041: transition metal ion transport, GO:0000041: transition metal ion transport, GO:0005381: iron ion transmembrane transporter activity, GO:0005381: iron ion transmembrane transporter activity, GO:0006824: cobalt ion transport, GO:0006826: iron ion transport, GO:0006826: iron ion transport, GO:0009705: plant-type vacuole membrane, GO:0010106: cellular response to iron ion starvation, GO:0010167: response to nitrate, GO:0015087: cobalt ion transmembrane transporter activity, GO:0015099: nickel cation transmembrane transporter activity, GO:0015675: nickel cation transport, GO:0015706: nitrate transport, GO:0016021: integral component of membrane, GO:0034755: iron ion transmembrane transport, GO:0055068: cobalt ion homeostasis	
249752_at	LSU2		5	-8443279	AT5G24660	15842617, 16183833, 18305208, 18775970, 20147370, 21798943, 22383539	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0009658: chloroplast organization, GO:0031347: regulation of defense response, GO:0045893: positive regulation of transcription, DNA-templated	
251480_at			3	-22054937	AT3G59710	15333753, 16299171, 16453058	GO:0000038: very long-chain fatty acid metabolic process, GO:0000166: nucleotide binding, GO:0005737: cytoplasm, GO:0008152: metabolic process, GO:0009409: response to cold, GO:0016491: oxidoreductase activity, GO:0016491: oxidoreductase activity, GO:0042335: cuticle development	
266033_at			2	2229602, 2229701, 2229707, 2229665	AT2G05830	15539473, 20627899	GO:0000023: maltose metabolic process, GO:0000394: RNA splicing, via endonucleolytic cleavage and ligation, GO:0003743: translation initiation factor activity, GO:0005525: GTP binding, GO:0005576: extracellular region, GO:0005634: nucleus, GO:0005737: cytoplasm, GO:0005851: eukaryotic translation initiation factor 2B complex, GO:0006413: translational initiation, GO:0009086: methionine biosynthetic process, GO:0009506: plasmodesma, GO:0019252: starch biosynthetic process, GO:0019509: L-methionine biosynthetic process from methylthioadenosine, GO:0043085: positive regulation of catalytic activity, GO:0044237: cellular metabolic process, GO:0044249: cellular biosynthetic process, GO:0046523: S-methyl-5-thioribose-1-phosphate isomerase activity, GO:0071281: cellular response to iron ion, GO:0071369: cellular response to ethylene stimulus, GO:0071732: cellular response to nitric oxide	00270: Cysteine and methionine metabolism, 01100: Metabolic pathways
257021_at	BCAT4	Belongs to the branched-chain amino acid aminotransferase gene family. Encodes a methionine-oxo-acid transaminase. Involved in the methionine chain elongation pathway that leads to the ultimate biosynthesis of methionine-derived glucosinolates.	3	-6846969	AT3G19710	12953064, 16293693, 16552493, 16648215, 17056707, 17114350, 17172353, 18318836, 18375600, 18650403, 23073694	GO:0003824: catalytic activity, GO:0003824: catalytic activity, GO:0004084: branched-chain-amino-acid transaminase activity, GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0009407: toxin catabolic process, GO:0009416: response to light stimulus, GO:0009611: response to wounding, GO:0009684: indoleacetic acid biosynthetic process, GO:0010326: methionine-oxo-acid transaminase activity, GO:0019344: cysteine biosynthetic process, GO:0019761: glucosinolate biosynthetic process, GO:0019761: glucosinolate biosynthetic process	00280: Valine, leucine and isoleucine degradation, 00290: Valine, leucine and isoleucine biosynthesis, 00770: Pantothenate and CoA biosynthesis, 00966: Glucosinolate biosynthesis, 01100: Metabolic pathways, 01110: Biosynthesis of secondary metabolites
251315_at			3	22721006	AT3G61410	12644671, 12795696, 15539473	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process, GO:0010093: specification of floral organ identity, GO:0048440: carpel development	
252427_at	PYE	Encodes POPEYE (PYE), a bHLH transcription factor regulating response to iron deficiency in Arabidopsis roots.	3	17567597, 17567126, 17567126	AT3G47640	11118137, 12679534, 12897250, 14600211, 14645731, 15235117, 20675571, 20978802, 21873619	GO:0003677: DNA binding, GO:0003700: sequence-specific DNA binding transcription factor activity, GO:0003700: sequence-specific DNA binding transcription factor activity, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated, GO:0010106: cellular response to iron ion starvation, GO:0055072: iron ion homeostasis	
255075_at			4	5812488	AT4G09110	11983057, 15539473	GO:0008270: zinc ion binding, GO:0008270: zinc ion binding, GO:0010043: response to zinc ion	
264479_at			1	-29031468	AT1G77280	12644671, 15047898, 15539473, 14742872, 18650403	GO:0002238: response to molecule of fungal origin, GO:0004672: protein kinase activity, GO:0004674: protein serine/threonine kinase activity, GO:0004713: protein tyrosine kinase activity, GO:0005524: ATP binding, GO:0005886: plasma membrane, GO:0006468: protein phosphorylation, GO:0016301: kinase activity, GO:0016772: transferase activity, transferring phosphorus-containing groups	
265083_at			1	-959869	AT1G03820	12177459, 15618413, 16648215, 18650403	GO:0003674: molecular_function, GO:0008150: biological_process, GO:0009507: chloroplast	
245141_at	BEN1	involved in the regulation of brassinosteroid metabolic pathway	2	-18703829	AT2G45400	1354004, 15047898, 15489341, 17521414, 22995285	GO:0000166: nucleotide binding, GO:0003824: catalytic activity, GO:0005634: nucleus, GO:0005737: cytoplasm, GO:0009813: flavonoid biosynthetic process, GO:0010422: regulation of brassinosteroid biosynthetic process, GO:0016126: sterol biosynthetic process, GO:0016131: brassinosteroid metabolic process, GO:0016132: brassinosteroid biosynthetic process, GO:0016614: oxidoreductase activity, acting on CH-OH group of donors, GO:0044237: cellular metabolic process, GO:0050662: coenzyme binding	
262655_s_at							GO:0005634: nucleus, GO:0006066: alcohol metabolic process, GO:0008812: choline dehydrogenase activity, GO:0009507: chloroplast, GO:0016614: oxidoreductase activity, acting on CH-OH group of donors, GO:0016832: aldehyde-lyase activity, GO:0050660: flavin adenine dinucleotide binding, GO:0055114: oxidation-reduction process	
266162_at								
